title,description,street,city,state,postal_code,country,lat,lng,phone,fax,email,website,description_2,marker_id,is_disabled,open_hours,brand,special,slug,lang,pending,updated_on,logo_name,categories,order
Bunyip Medical Clinic,,11 Abeckett Road,Bunyip,VIC,3815,Australia,-38.095744,145.7225906,(03) 5629 5111,,,https://familydoctor.com.au/bunyipmedical,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,bunyip-medical-clinic-bunyip,,,,Default,Medical Center,0
Caboolture Super Clinic,,23-27 George Street,Caboolture,QLD,4510,Australia,-27.08168538,152.9494624,(07) 5315 8888,,,https://familydoctor.com.au/caboolturesuperclinic/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,caboolture-super-clinic-caboolture,,,,Default,Medical Center,0
Caligem Health,,171 Mann Street,Gosford,NSW,2250,Australia,-33.425249,151.3434716,(02) 4369 8999,,,https://familydoctor.com.au/caligemhealth/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,caligem-health-gosford,,,,Default,Medical Center,0
Camberwell Family Dental,,4 Prospect Hill Rd Camberwell VIC 3124,Camberwell,VIC,3124,Australia,-37.82853392,145.0579674,(03) 8592 9866,,,https://familydoctor.com.au/camberwellfamilydental/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,camberwell-family-dental-camberwell,,,,Default,Dentist,0
Camberwell Junction Medical Clinic,,6/8 Prospect Hill Road,Camberwell,VIC,3124,Australia,-37.82829239,145.0585446,(03) 9882 8184,,,https://familydoctor.com.au/camberwell,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,camberwell-junction-medical-clinic-camberwell,,,,Default,Medical Center,0
Chapel Gate Medical Centre,,116 Punt Rd,Windsor,VIC,3181,Australia,-37.8520345,144.984656,(03) 9510 7888,,,https://familydoctor.com.au/chapelgate,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,chapel-gate-medical-centre-windsor,,,,Default,Medical Center,0
Cooroy Family Practice,,7 Myall Street,Cooroy,QLD,4563,Australia,-26.4195127,152.9101058,(07) 5472 0064,,,https://familydoctor.com.au/cooroyfamilypractice,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,cooroy-family-practice-cooroy,,,,Default,Medical Center,0
Core Medical,,49 Chelmsford Avenue,Port Kennedy,WA,6172,Australia,-32.35310664,115.7551183,(08) 6500 1510,,,https://familydoctor.com.au/coremedical/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,core-medical-port-kennedy,,,,Default,Medical Center,0
Cotton Tree Plaza Medical Centre,,Cnr King St &,Maroochydore,QLD,4558,Australia,-26.65471583,153.1015369,(07) 5443 3768,,,https://familydoctor.com.au/maroochydore,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,cotton-tree-plaza-medical-centre-maroochydore,,,,Default,Medical Center,0
Cowes Medical Centre,,164 Thompson Avenue,Cowes,VIC,3922,Australia,-38.45674335,145.2387725,(03) 5951 1800,,,https://familydoctor.com.au/cowesmedicalcentre/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,cowes-medical-centre-cowes,,,,Default,Medical Center,0
Deer Park Family Medicine,,1/20 Clairview Road,Deer Park,VIC,3023,Australia,-37.77801289,144.7560822,(03) 8000 3075,,,https://familydoctor.com.au/deerparkfm/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,deer-park-family-medicine-deer-park,,,,Default,Medical Center,0
Doctors @ Redlands Medical Centre,,189 Vienna Road,Alexandra Hills,QLD,4161,Australia,-27.54279962,153.2257631,(07) 3823 2444,,,https://familydoctor.com.au/doctorsatredlands/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,doctors-redlands-medical-centre-alexandra-hills,,,,Default,Medical Center,0
Drouin Medical Clinic,,25 Young St,Drouin,VIC,3818,Australia,-38.13575114,145.8614418,(03) 5625 6500,,,https://familydoctor.com.au/drouinmedical,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,drouin-medical-clinic-drouin,,,,Default,Medical Center,0
Drovers Medical Centre,,1397 Wanneroo Road,Wanneroo,WA,6065,Australia,-31.71757982,115.7809233,(08) 9306 2255,,,https://familydoctor.com.au/droversmedicalcentre/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,drovers-medical-centre-wanneroo,,,,Default,Medical Center,0
Eaglehawk Medical Centre,,13/21 Peg Leg Road,Eaglehawk,VIC,3556,Australia,-36.71772147,144.2514278,(03) 4400 9220,,,https://familydoctor.com.au/eaglehawkmedical,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,eaglehawk-medical-centre-eaglehawk,,,,Default,Medical Center,0
Eclipse Medical,,Shop 303,Maroochydore,QLD,4558,Australia,-26.65709391,153.0813215,(07) 5329 2105,,,https://familydoctor.com.au/eclipsemedical/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,eclipse-medical-maroochydore,,,,Default,Medical Center,0
Epping Family Doctors,,230 Cooper Street,Epping,VIC,3076,Australia,-37.64937118,145.0106287,(03) 8000 3020,,,https://familydoctor.com.au/eppingfamilydoctors,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,epping-family-doctors-epping,,,,Default,Medical Center,0
Forest Hill Chase Medical Centre,,270 Canterbury Road,Forest Hill,VIC,3131,Australia,-37.83527166,145.165998,(03) 8840 4248,,,https://familydoctor.com.au/foresthillchase,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,forest-hill-chase-medical-centre-forest-hill,,,,Default,Medical Center,0
Forest Hill Family Dental,,270 Canterbury Rd,Forest Hill,VIC,3131,Australia,-37.83554238,145.1655383,(03) 8840 4246,,,https://familydoctor.com.au/foresthillfamilydental,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,forest-hill-family-dental-forest-hill,,,,Default,Dentist,0
GPCare Medical Centre,,32 Wises Road,Maroochydore,QLD,4558,Australia,-26.67215287,153.0909279,(07) 5409 9800,,,https://familydoctor.com.au/gpcare/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,gpcare-medical-centre-maroochydore,,,,Default,Medical Center,0
Grandview Family Clinic,,3 Grandview Grove,Cowes,VIC,3922,Australia,-38.45675094,145.2385763,(03) 5951 1860,,,https://familydoctor.com.au/grandviewfamilyclinic/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,grandview-family-clinic-cowes,,,,Default,Medical Center,0
Hazelwood Health Centre,,9a Georgina Place,Churchill,VIC,3842,Australia,-38.31214502,146.4215135,(03) 5122 2555,,,https://familydoctor.com.au/hazelwoodhealthcentre/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,hazelwood-health-centre-churchill,,,,Default,Medical Center,0
Hillcrest Family Medicine,,26 Seymour Street,Traralgon,VIC,3844,Australia,-38.19596947,146.5395675,(03) 5174 2345,,,https://familydoctor.com.au/hillcrestfamilymedicine/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,hillcrest-family-medicine-traralgon,,,,Default,Medical Center,0
Hollie Drive Medical Centre,,5 Hollie Dr,Morwell,VIC,3840,Australia,-38.23526156,146.4327974,(03) 5135 3555,,,https://familydoctor.com.au/holliedrive,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,hollie-drive-medical-centre-morwell,,,,Default,Medical Center,0
Horsham Doctors,,1C Madden Street,Horsham,VIC,3400,Australia,-36.71817637,142.1988238,(03) 4336 4099,,,https://familydoctor.com.au/horshamdoctors/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,horsham-doctors-horsham,,,,Default,Medical Center,0
Humphries Road Medical Centre,,265 Humphries Road,Frankston South,VIC,3199,Australia,-38.19165806,145.123324,(03) 9787 4266,,,https://familydoctor.com.au/humphriesroadmc/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,humphries-road-medical-centre-frankston-south,,,,Default,Medical Center,0
Isabella Plains Medical Centre,,9 Arakoon Crescent,Isabella Plains,ACT,2905,Australia,-35.42793144,149.0921115,(02) 6292 8899,,,https://familydoctor.com.au/isabellamedical/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,isabella-plains-medical-centre-isabella-plains,,,,Default,Medical Center,0
Kangaroo Flat Medical Centre,,68-72 High Street,Kangaroo Flat,VIC,3555,Australia,-36.79217038,144.2444465,(03) 4420 4409,,,https://familydoctor.com.au/kangarooflatmed/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,kangaroo-flat-medical-centre-kangaroo-flat,,,,Default,Medical Center,0
Kew Junction Medical Clinic,,163 High St,Kew,VIC,3101,Australia,-37.80653248,145.0311206,(03) 9852 7666,,,https://familydoctor.com.au/kew,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,kew-junction-medical-clinic-kew,,,,Default,Medical Center,0
Kooringal Medical Centre,,295 Lake Albert Road,Kooringal,NSW,2650,Australia,-35.14173188,147.3756583,(02) 6922 6855,,,https://familydoctor.com.au/wagga,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,kooringal-medical-centre-kooringal,,,,Default,Medical Center,0
Kuluin Clinic,,"6, 1 Indiana Pl",Kuluin,QLD,4558,Australia,-26.66085083,153.0519933,(07) 5450 0151,,,https://familydoctor.com.au/kuluinclinic,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,kuluin-clinic-kuluin,,,,Default,Medical Center,0
Lalor Plaza Medical Centre,,20 McKimmies Road,Lalor,VIC,3075,Australia,-37.67484281,145.0345172,(03) 9466 1488,,,https://familydoctor.com.au/lalor,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,lalor-plaza-medical-centre-lalor,,,,Default,Medical Center,0
Lang Lang Community Family Medicine,,5 Whitstable Street,Lang Lang,VIC,3984,Australia,-38.2648575,145.5627108,(03) 5997 5799,,,https://familydoctor.com.au/langlangcfm/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,lang-lang-community-family-medicine-lang-lang,,,,Default,Medical Center,0
Lemon Tree Medical Practice,,25 Cook Parade,Lemon Tree Passage,NSW,2319,Australia,-32.73013009,152.0394878,(02) 4982 4499,,,https://familydoctor.com.au/lemontree,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,lemon-tree-medical-practice-lemon-tree-passage,,,,Default,Medical Center,0
Lifetime Health Medical Centre,,Unit 204/67 Regatta Boulevard,Birtinya,QLD,4575,Australia,-26.75108151,153.1213189,(07) 5437 6324,,,https://familydoctor.com.au/lifetimehealth/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,lifetime-health-medical-centre-birtinya,,,,Default,Medical Center,0
Lilian Cooper Centre,,"Suite 297, Level 1, St Andrews Place",Spring Hill,QLD,4000,Australia,-27.46088922,153.0220214,(07) 3832 1666,,,https://familydoctor.com.au/liliancoopercentre,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,lilian-cooper-centre-spring-hill,,,,Default,Medical Center,0
Lilydale Medical Centre,,351 Main Street,Lilydale,VIC,3140,Australia,-37.75684257,145.3555384,(03) 9735 7777,,,https://familydoctor.com.au/lilydale,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,lilydale-medical-centre-lilydale,,,,Default,Medical Center,0
Lime Medical Clinic,,154 Lime Ave,Mildura,VIC,3500,Australia,-34.18735035,142.1564132,(03) 5023 5122,,,https://familydoctor.com.au/mildura/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,lime-medical-clinic-mildura,,,,Default,Medical Center,0
Long Street Family Medicine,,1 Long Street,Leongatha,VIC,3953,Australia,-38.4790716,145.9500978,(03) 5662 4455,,,https://familydoctor.com.au/longstreetfm/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,long-street-family-medicine-leongatha,,,,Default,Medical Center,0
Main Street Medical Centre Merimbula,,Suite 6/93 Main Street,Merimbula,NSW,2548,Australia,-36.88591328,149.9106082,(02) 6495 2555,,,https://familydoctor.com.au/merimbuladoctors/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,main-street-medical-centre-merimbula-merimbula,,,,Default,Medical Center,0
McDonald Street Medical Centre,,4-6 McDonald Street,Mordialloc,VIC,3195,Australia,-38.00509865,145.0878335,(03) 9580 6111,,,https://familydoctor.com.au/mordialloc/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,mcdonald-street-medical-centre-mordialloc,,,,Default,Medical Center,0
Medical Centre Frankston,,54-56 Cranbourne Road,Frankston,VIC,3199,Australia,-38.14538481,145.1333201,(03) 9783 2445,,,https://familydoctor.com.au/medicalcentrefrankston/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,medical-centre-frankston-frankston,,,,Default,Medical Center,0
Merriwa Medical Centre,,16/44 Baltimore Parade,Merriwa,WA,6030,Australia,-31.66861946,115.7161383,(08) 9406 8699,,,https://familydoctor.com.au/merriwamedicalcentre,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,merriwa-medical-centre-merriwa,,,1/12/2023 2:46,Default,Medical Center,0
Mill Lane Clinic Nambour,,18 Bury St,Nambour,QLD,4560,Australia,-26.62720018,152.958165,(07) 5450 0151,,,https://familydoctor.com.au/milllaneclinic/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,mill-lane-clinic-nambour-nambour,,,,Default,Medical Center,0
Mindarie Keys Medical Centre,,6 Rothesay Heights,Mindarie,WA,6030,Australia,-31.69293278,115.71264,(08) 9407 7311,,,https://familydoctor.com.au/mindariekeysmedicalcentre/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,mindarie-keys-medical-centre-mindarie,,,,Default,Medical Center,0
Modern Medical Clinics,,66-70 Mahogany Drive,Halls Head,WA,6210,Australia,-32.54962385,115.6995197,(08) 9582 7800,,,https://familydoctor.com.au/modernmedical/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,modern-medical-clinics-halls-head,,,,Default,Medical Center,0
Northland Medical Centre,,Northland Shopping Centre,Preston,VIC,3072,Australia,-37.73995541,145.0281564,(03) 9471 9987,,,https://familydoctor.com.au/preston/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,northland-medical-centre-preston,,,,Default,Medical Center,0
Northside Health,,3/14 Edgar Street,Coffs Harbour,NSW,2450,Australia,-30.30193525,153.1377226,(02) 6652 5322,,,https://familydoctor.com.au/northsidehealth,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,northside-health-coffs-harbour,,,,Default,Medical Center,0
Nyora Medical Centre,,42 Davis Street,Nyora,VIC,3987,Australia,-38.33476312,145.6726203,(03) 5659 0070,,,https://familydoctor.com.au/nyoramedical/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,nyora-medical-centre-nyora,,,,Default,Medical Center,0
Ocean Family Medicine,,19 Lakehead Drive,Sippy Downs,QLD,4556,Australia,-26.72058153,153.0489539,(07) 5477 0644,,,https://familydoctor.com.au/oceanfamilymedicine/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,ocean-family-medicine-sippy-downs,,,,Default,Medical Center,0
One Care Medical Centre,,1 Addison Road,Pennington,SA,5013,Australia,-34.86314493,138.5290777,(08) 8341 1011,,,https://familydoctor.com.au/onecare,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,one-care-medical-centre-pennington,,,,Default,Medical Center,0
One Health Buronga,,2 Short Street,Buronga,NSW,2739,Australia,-34.16921411,142.1804829,(03) 5021 1002,,,https://familydoctor.com.au/onehealth,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,one-health-buronga-buronga,,,,Default,Medical Center,0
Parkdale Medical Surgery,,135 Parkers Road,Parkdale,VIC,3195,Australia,-37.9927035,145.0780676,(03) 9580 1912,,,https://familydoctor.com.au/parkdalemedical/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,parkdale-medical-surgery-parkdale,,,,Default,Medical Center,0
Parklands Medical Centre,,3/238 Parklands Boulevard,Currimundi,QLD,4551,Australia,-26.77288392,153.107104,(07) 5491 2888,,,https://familydoctor.com.au/parklands/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,parklands-medical-centre-currimundi,,,,Default,Medical Center,0
Peter Street Medical Centre,,128-132 Peter Street,Wagga Wagga,NSW,2650,Australia,-35.09674677,147.4172421,(02) 6939 7397,,,https://familydoctor.com.au/peterstwagga,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,peter-street-medical-centre-wagga-wagga,,,,Default,Medical Center,0
PVH Medical,,124 Kent Rd,Pascoe Vale,VIC,3044,Australia,-37.71959703,144.9396835,(03) 9304 0500,,,http://www.pvhmedical.com.au/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,pvh-medical-pascoe-vale,,,,Default,Medical Center,0
Red Hill Medical Centre,,129 Shoreham Road,Red Hill South,VIC,3937,Australia,-38.38290279,145.0236968,(03) 5989 2077,,,https://familydoctor.com.au/rhmc/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,red-hill-medical-centre-red-hill-south,,,,Default,Medical Center,0
Rich River Health Group,,214 Ogilvie Ave,Echuca,VIC,3564,Australia,-36.13995103,144.7485062,(03) 5480 6700,,,https://familydoctor.com.au/echuca,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,rich-river-health-group-echuca,,,,Default,Medical Center,0
San Remo Medical Clinic,,123 Marine Parade,San Remo,VIC,3925,Australia,-38.52097627,145.3690889,(03) 5678 5402,,,https://familydoctor.com.au/sanremomedicalclinic/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,san-remo-medical-clinic-san-remo,,,,Default,Medical Center,0
Seymour Medical Clinic,,30-32 Anzac Avenue,Seymour,VIC,3660,Australia,-37.02650179,145.1397301,(03) 5792 1222,,,https://familydoctor.com.au/seymour,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,seymour-medical-clinic-seymour,,,,Default,Medical Center,0
South Gippsland Family Medicine,,Shop 4-6/1 Billson Street,Wonthaggi,VIC,3995,Australia,-38.60519398,145.5891925,(03) 5672 4111,,,https://familydoctor.com.au/southgippslandfm/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,south-gippsland-family-medicine-wonthaggi,,,,Default,Medical Center,0
Sunbury Medical Centre,,38-40 Gap Rd,Sunbury,VIC,3429,Australia,-37.57955713,144.7238531,(03) 9744 8999,,,https://familydoctor.com.au/sunbury/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,sunbury-medical-centre-sunbury,,,,Default,Medical Center,0
The Skin Clinic Mandurah,,3 Peelwood Parade,Halls Head,WA,6210,Australia,-32.54916364,115.7003048,(08) 9535 2400,,,https://familydoctor.com.au/skincheckmandurah/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,the-skin-clinic-mandurah-halls-head,,,,Default,Medical Center,0
Thompson Road Clinic,,2A Woodbine Road,Cranbourne,VIC,3977,Australia,-38.08188296,145.2800023,(03) 5996 9000,,,https://www.thompsonroadclinic.com.au/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,thompson-road-clinic-cranbourne,,,,Default,Medical Center,0
Tilligerry Medical Practice,,1061 Lemon Tree Passage Road,Tanilba Bay,NSW,2319,Australia,-32.73602748,152.0012329,(02) 4982 4988,,,https://familydoctor.com.au/tilligerrymedical/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,tilligerry-medical-practice-tanilba-bay,,,,Default,Medical Center,0
Towerhill Medical Centre,,143 Frankston-Flinders Road,Frankston,VIC,3199,Australia,-38.16270079,145.1376383,(03) 9781 4477,,,https://familydoctor.com.au/towermed/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,towerhill-medical-centre-frankston,,,,Default,Medical Center,0
Victoria Point Surgery,,Corner Bunker and Cleveland-Redland Bay Rd,Victoria Point,QLD,4165,Australia,-27.58461846,153.2814641,(07) 3207 8222,,,https://www.victoriapointsurgery.com.au/gp/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,victoria-point-surgery-victoria-point,,,,Default,Medical Center,0
Wanniassa Family Medicine,,2 Rylah Cres,Wanniassa,ACT,2903,Australia,-35.38957693,149.0917945,(02) 5104 3955,,,https://familydoctor.com.au/wanniassafm,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,wanniassa-family-medicine-wanniassa,,,,Default,Medical Center,0
Wodonga Medical Centre,,79 High St,Wodonga,VIC,3690,Australia,-36.11895574,146.8888193,(03) 4715 5090,,,https://familydoctor.com.au/wodongamed,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,,,,,Default,Medical Center,0
Aspendale Clinic Medical Centre,,147 Station St,Aspendale,VIC,3195,Australia,-38.02698,145.10307,(03) 9580 1200,,,https://familydoctor.com.au/aspendaleclinic/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,,,,,Default,Medical Center,0
Five Dock Medical Centre,,150 Great N Rd,Five Dock,NSW,2046,Australia,,,(02) 8753 4700,,,https://fivedockmedicalcentre.com.au/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,,,,,Default,Medical Center,0
Fremantle Family Doctors,,15/115 Lefroy Road,Beaconsfield,WA,6162,Australia,,,(08) 9331 7479,,,http://www.fremantlefamilydoctors.com.au/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,,,,,Default,Medical Center,0
Fremantle Family Doctors - South St,,283 South St,Hilton,WA,6163,Australia,,,(08) 9314 1999,,,http://www.fremantlefamilydoctors.com.au/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,,,,,Default,Medical Center,0
Mater Hill Family Medical Centre,,40 Annerley Rd,Woolloongabba,QLD,4102,Australia,,,(07) 3828 6300,,,https://materhillfamilymedicalcentre.com.au/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,,,,,Default,Medical Center,0
Palm Springs Medical Centre,,3 Halliburton Ave,Warnbro,WA,6169,Australia,,,(08) 9523 7300,,,https://palmspringsmedicalcentre.com.au/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,,,,,Default,Medical Center,0
The Grove Health Pymble,,11/924 Pacific Hwy,Gordon,NSW,2072,Australia,,,(02) 9491 8000,,,https://grovehealthpymble.com.au/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,,,,,Default,Medical Center,0
Woodford Family Medical Centre,,64 Archer St,Woodford,QLD,4514,Australia,,,(07) 5434 5000,,,https://woodfordfamilymedicalcentre.com.au/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,,,,,Default,Medical Center,0
Yanchep Medical Centre,,Unit 1/5 Village Row,Yanchep,WA,6035,Australia,,,(08) 9562 8100,,,https://yanchepmedicalcentre.com.au/,,1,0,mon=0|tue=0|wed=0|thu=0|fri=0|sat=0|sun=0,,,,,,,Default,Medical Center,0
